judul;pasal;jenis_penertiban;jenis_pelanggaran;enabled
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 46;TERTIB SOSIAL;Dilarang mengedarkan, menyimpan dan menjual minuman beralkohol tanpa izin dari pejabat yang berwenang sesuai dengan ketentuan peraturan perundang-undangan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 47 ayat 1 huruf a;TERTIB KESEHATAN;Dilarang menyelenggarakan dan/atau melakukan praktek pengobatan tradisional;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 47 ayat 1 huruf b;TERTIB KESEHATAN;Dilarang menyelenggarakan dan/atau melakukan praktek pengobatan kebatinan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 47 ayat 1 huruf c;TERTIB KESEHATAN;Dilarang membuat, meracik, menyimpan dan menjual obat-obat ilegal dan/atau obat palsu;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 48 ayat 1;TERTIB TEMPAT HIBURAN DAN KERAMAIAN;Dilarang menyelenggarakan tempat usaha hiburan tanpa izin Gubernur atau pejabat yang ditunjuk.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 48 ayat 2;TERTIB TEMPAT HIBURAN DAN KERAMAIAN;Dilarang melaksanakan kegiatan lain yang menyimpang dan izin yang dimiliki. (Tempat Usaha Hiburan);TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 48 ayat 3;TERTIB TEMPAT HIBURAN DAN KERAMAIAN;Dilarang menyelenggarakan permainan ketangkasan yang bersifat komersial di lingkungan pemukiman.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 49;TERTIB TEMPAT HIBURAN DAN KERAMAIAN;Setiap penyelanggaraan kegiatan keramaian (sepanjang bukan merupakan tugas, wewenang dan tanggung jawab Pemerintah Pusat) wajib mendapatkan izin dari Pejabat yang ditunjuk;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 51;TERTIB TEMPAT HIBURAN DAN KERAMAIAN;Penyelenggaraan kegiatan keramaian di luar gedung dan/atau memanfaatkan jalur jalan yang dapat mengganggu kepentingan umum wajib mendapat izin dari Gubernur atau pejabat yang ditunjuk.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 52 ayat 1;TERTIB PERAN SERTA MASYARAKAT;Dilarang menempatkan atau memasang lambang, simbol, bendera, spanduk, umbul-umbul maupun atribut lainnya pada tempat umum tanpa izin Pejabat yg ditunjuk;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 52 ayat 3;TERTIB PERAN SERTA MASYARAKAT;Setiap orang atau badan yang menempatkan dan memasang lambang, simbol, bendera, spanduk, umbul-umbul maupun atribut-atribut lainnya sebagaimana dimaksud pada ayat (2) wajib mencabut serta membersihkan sendiri setelah habis masa berlakunya.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 53;TERTIB PERAN SERTA MASYARAKAT;Dilarang memasang lambang, simbol, bendera, spanduk, umbulumbul, maupun atribut-athbut lainnya di areal sekitar Istana Negara dan Istana Merdeka;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 54 ayat 1;TERTIB PERAN SERTA MASYARAKAT;Dilarang merusak prasarana dan sarana umum pada waktu berlangsungnya penyampaian pendapat, unjuk rasa dan/atau pengerahan massa.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 54 ayat 2;TERTIB PERAN SERTA MASYARAKAT;Dilarang membuang benda / sarana pada waktu unjuk rasa, pengerahan massa di tempat umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 55;TERTIB PERAN SERTA MASYARAKAT;Diwajibkan memasang bendera Merah Putih pada peringatan hari besar nasional sesuai peraturan yg berlaku;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 56;TERTIB PERAN SERTA MASYARAKAT;Diwajibkan memenuhi persyaratan administrasi kependudukan yang tinggal, menetap di DKI Jakarta;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 57 ayat 1;TERTIB PERAN SERTA MASYARAKAT;Setiap orang yang berkunjung atau bertamu lebih dari 1x24 jam wajib melaporkan diri kepada pengurus Rukun Tetangga setempat.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 57 ayat 2;TERTIB PERAN SERTA MASYARAKAT;Setiap pemilik rumah kost wajib melaporkan penghuninya kepada Lurah melalui pengurus Rukun Tetangga setempat secara periodik.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 57 ayat 3;TERTIB PERAN SERTA MASYARAKAT;Setiap penghuni rumah kontrak wajib melapor kepada Lurah melalui pengurus Rukun Tetangga setempat secara periodik.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 57 ayat 4;TERTIB PERAN SERTA MASYARAKAT;Setiap pengelola rumah susun dan apartemen wajib melaporkan penghuninya kepada Lurah melalui pengurus Rukun Tetangga setempat secara periodik;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 11 huruf a-i;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame berkewajiban menempelkan peneng atau tanda lainnya sesuai dengan peraturan;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 1 huruf a;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada gedung Pemerintah Pusat/Daerah/TNI/Polri tidak termasuk halaman kantor dan gedung milik BUMN dan BUMD;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 1 huruf b;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada gedung atau halaman tempat pendidikan/sekolah dan tempat-tempat ibadah;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 1 huruf c;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bersifat komersial pada tempat lain yang ditetapkan dengan Peraturan Gubernur;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 2;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame papan/billboard/megatron/videotron/large electronic display (LED) di luar kawasan yang telah ditetapkan oleh Gubernur;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 3;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame makanan/minuman beralkohol kecuali pada tempat-tempat tertentu yang diizikan menjual makanan/minuman beralkohol;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 4;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame rokok dan produk tembakau pada kawasan tertentu yang ditetapkan dengan Peraturan Gubernur;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 12 ayat 5;TERTIB PENYELENGGARAAN REKLAME;Penyelenggaran reklame/biro reklame dan pemilik reklame dilarang menyelenggarakan reklame yang bertentangan dengan prinsip-prinsip sebagaimana dimaksud Pasal 2;TRUE
PERDA NO 9 TAHUN 2014 TENTANG PENYELENGGARAAN REKLAME;Pasal 32;TERTIB PENYELENGGARAAN REKLAME;Reklame tanpa izin penyelenggaraan reklame, telah berakhir masa izinnya, tanpa peneng / tanda pelunasan pajak, terdapat perubahan, sehungga tidak sesuai lagi dengan izin penyelenggaraan titik reklame yang diberikan, tidak sesuai dengan letak, bentuk dan ukuran yang ada di TLBR, tidak sesuai lagi dengan rekomendasi konstruksi dan tidak terawat dengan baik;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 8 ayat 1 huruf a;TERTIB PENGGUNAAN MASKER (PPKM);Setiap orang wajib menggunakan masker sesuai dengan standar kesehatan yang menutupi hidung, mulut dagu ketika berada di luar rumah, saat berkendara, tempat kerja dan aktivitas lainnya;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 11;TERTIB PERKANTORAN / TEMPAT KERJA, TEMPAT USAHA, TEMPAT INDUSTRI, PERHOTELAN/ PENGINAPAN LAIN (PPKM);Perkantoran/tempat kerja, tempat usaha, tempat industri, perhotelan tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 11 yat 1;TERTIB PERKANTORAN / TEMPAT KERJA, TEMPAT USAHA, TEMPAT INDUSTRI, PERHOTELAN/ PENGINAPAN LAIN (PPKM);Tidak di temukan pelanggaran;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 15;TERTIB WARUNG MAKAN, RUMAH MAKAN, KAFE ATAU RESTORAN (PPKM);Warung makan, rumah makan, kafe atau restoran tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 15 ayat 1;TERTIB WARUNG MAKAN, RUMAH MAKAN, KAFE ATAU RESTORAN (PPKM);Tidak di temukan pelanggaran;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 16;TERTIB PEDAGANG KAKI LIMA (PPKM);Pedagang kaki lima tidak melaksanakan protokol pencegahan Covid-19 sesuai kebijakan yang ditetapkan oleh instansi yang berwenang;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 16 ayat 1;TERTIB PEDAGANG KAKI LIMA (PPKM);Tidak di temukan pelanggaran;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 18;TERTIB AREA PUBLIK DAN TEMPAT LAINNYA (PPKM);Area publik dan tempat lainnya yang menimbulkan kerumunan;TRUE
PERDA NOMOR 2 TAHUN 2020 TENTANG PENANGGULANGAN CORONA VIRUS DISEASE 2019;Pasal 18 ayat 1;TERTIB AREA PUBLIK DAN TEMPAT LAINNYA (PPKM);Tidak di temukan pelanggaran;TRUE
PERDA NO. 2 TAHUN 2005 TENTANG PENGENDALIAN PENCEMARAN UDARA;Pasal 13 ayat 1;TERTIB KAWASAN DILARANG MEROKOK (KDM);Dilarang merokok di tempat umum, sarana kesehatan, tempat kerja, tempat proses belajar mengajar, arena kegiatan anak, tempat ibadah dan angkutan umum;TRUE
PERDA NO. 2 TAHUN 2005 TENTANG PENGENDALIAN PENCEMARAN UDARA;Pasal 13 ayat 2;TERTIB KAWASAN DILARANG MEROKOK (KDM);Tidak di temukan pelanggaran;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 127 ayat 2;TERTIB PENGELOLAAN SAMPAH;Pengelola kawasan pemukiman, komersil, industri, khusus lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi administratif Rp. 10.000.000 s.d Rp. 50.000.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 127 ayat 3;TERTIB PENGELOLAAN SAMPAH;Pengelola Fasilitas umum, sosial dan fasilitas lainnya lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi administratif Rp. 1.000.000 s.d Rp. 5.000.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 128;TERTIB PENGELOLAAN SAMPAH;Pengembang lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi sesuai perundangan;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 129 ayat 1;TERTIB PENGELOLAAN SAMPAH;Pengembang bangunan gedung hunian lebih dari 4 lantai lalai atau sengaja tidak menyediakan fasilitas pengelolaan sampah dikenakan sanksi sesuai perundangan;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 129 ayat 2;TERTIB PENGELOLAAN SAMPAH;Produsen lalai atau sengaja tidak mencantumkan tanda yang berhubungan dengan pengurangan sampah pada kemasan dan produk yang dihasilkan beredar di daerah sulit terurai oleh proses alam dikenakan sanksi administratif berupa uang paksa sebesar Rp. 25.000.000 s.d Rp. 50.000.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 129 ayat 3;TERTIB PENGELOLAAN SAMPAH;Pengelola Pusat perbelanjaan, toko modern dan pasar lalai atau sengaja tidak menggunakan kantong belanja yang ramah lingkungan dikenakan sanksi administratif berupa uang paksa sebesar Rp. 5.000.000 s.d Rp. 25.000.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 130 ayat 1 huruf a;TERTIB PENGELOLAAN SAMPAH;Membuang sampah di luar jadwal yang ditentukan, dikenakan uang paksa sebanyak Rp. 100.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 130 ayat 1 huruf b;TERTIB PENGELOLAAN SAMPAH;Membuang, Menumpuk Sampah dan atau Bangkai Binatang ke Sungai/Kali/Kanal, Waduk, Situ, Sauran Limbah, di Jalan atau Tempat Umum, dikenakan uang paksa paling banyak Rp.500.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 130 ayat 1 huruf c;TERTIB PENGELOLAAN SAMPAH;Membuang sampah dari kendaraan, dikenakan uang paksa paling banyak Rp. 500.000;TRUE
PERDA NO 3 TAHUN 2013 TENTANG PENGELOLAAN SAMPAH;Pasal 130 ayat 1 huruf d;TERTIB PENGELOLAAN SAMPAH;Mengeruk atau mengais sampah di TPS yang berakibat sampah menjadi berserakan, membuang sampah diluar tempat/lokasi pembuangan yang telah ditetapkan, dikenakan uang paksa paling banyak Rp. 500.000;TRUE
