judul;pasal;jenis_penertiban;jenis_pelanggaran;enabled
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 5 huruf c;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan galian, urugan dan menyelenggarakan angkutan tanpa izin Pejabat yang berwenang;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 6;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang memanfaatkan ruang terbuka di bawah jembatan atau jalan layang kecuali mendapat izin dari Gubernur.;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 7 ayat 1;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan pengaturan lalu lintas pada persimpangan / putaran / tikungan jalan dengan imbalan jasa;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 7 ayat 2;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang melakukan pungutan uang terhadap kendaraan umum maupun angkutan barang yg tdk berwenang;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 8;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap Pengendara bermotor dilarang membunyikan klakson dan wajib mengurangi kecepatan sewaktu melintasi tempat ibadah, pendidikan, rumah sakit selama kegiatan berlangsung;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 9;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang dilarang membuang sampah, kotoran permen karet, meludah dan merokok dalam kendaraan umum;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 10;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Dilarang memungut uang parkir di jalan-jalan ataupun di tempattempat umum, kecuali mendapat izin;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 11 ayat 1;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang wajib memarkir kendaraan di tempat yang telah ditentukan;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 11 ayat 2;TERTIB JALAN, ANGKUTAN JALAN DAN ANGKUTAN SUNGAI;Setiap orang atau badan dilarang menyelenggarakan dan/atau mengatur perparkiran tanpa izin;TRUE
PERDA NO 8 TAHUN 2007 TENTANG KETERTIBAN UMUM;Pasal 12 huruf a;TERTIB JALUR HIJAU, TAMAN DAN TEMPAT UMUM;"Dilarang memasuki atau berada di jalur hijau atau aman yang bukan untuk umum;";TRUE
